date,mkt_rf,rf,,mkt_rf,rf,,
9/30/2014,-0.0197,0,192607,2.96,0.22,0.0296,0.0022
10/31/2014,0.0252,0,192608,2.64,0.25,192608,
11/28/2014,0.0255,0,192609,0.36,0.23,192609,
12/31/2014,-0.0006,0,192610,-3.24,0.32,192610,
1/30/2015,-0.0311,0,192611,2.53,0.31,192611,
2/27/2015,0.0613,0,192612,2.62,0.28,192612,
3/31/2015,-0.0112,0,192701,-0.06,0.25,192701,
4/30/2015,0.0059,0,192702,4.18,0.26,192702,
5/29/2015,0.0136,0,192703,0.13,0.3,192703,
6/30/2015,-0.0153,0,192704,0.46,0.25,192704,
7/31/2015,0.0154,0,192705,5.44,0.3,192705,
8/31/2015,-0.0604,0,192706,-2.34,0.26,192706,
9/30/2015,-0.0307,0,192707,7.26,0.3,192707,
10/30/2015,0.0775,0,192708,1.97,0.28,192708,
11/30/2015,0.0057,0,192709,4.76,0.21,192709,
12/31/2015,-0.0217,0.0001,192710,-4.31,0.25,192710,
1/29/2016,-0.0577,0.0001,192711,6.58,0.21,192711,
2/29/2016,-0.0007,0.0002,192712,2.09,0.22,192712,
3/31/2016,0.0696,0.0002,192801,-0.68,0.25,192801,
4/29/2016,0.0091,0.0001,192802,-1.7,0.33,192802,
5/31/2016,0.0178,0.0001,192803,8.81,0.29,192803,
6/30/2016,-0.0005,0.0002,192804,4.23,0.22,192804,
7/29/2016,0.0395,0.0002,192805,1.52,0.32,192805,
8/31/2016,0.0049,0.0002,192806,-4.85,0.31,192806,
9/30/2016,0.0025,0.0002,192807,0.62,0.32,192807,
10/31/2016,-0.0202,0.0002,192808,6.68,0.32,192808,
11/30/2016,0.0486,0.0001,192809,2.88,0.27,192809,
12/30/2016,0.0182,0.0003,192810,1.33,0.41,192810,
1/31/2017,0.0194,0.0004,192811,11.81,0.38,192811,
2/28/2017,0.0357,0.0004,192812,0.36,0.06,192812,
3/31/2017,0.0017,0.0003,192901,4.66,0.34,192901,
