Date,APPLE INC. (XNAS:AAPL),JPMORGAN CHASE & CO. (XNYS:JPM),EXXON MOBIL CORPORATION (XNYS:XOM),PFIZER INC. (XNYS:PFE),THE PROCTER & GAMBLE COMPANY (XNYS:PG),"THE HOME DEPOT, INC. (XNYS:HD)",CATERPILLAR INC. (XNYS:CAT),"TESLA, INC. (XNAS:TSLA)",AT&T INC. (XNYS:T),AMERICAN TOWER CORPORATION (XNYS:AMT),Novo Nordisk A/S (XNYS:NVO),Sony Group Corporation (XNYS:SONY),Sap Se (XETR:SAP),BP P.L.C. (XNYS:BP),Nestle Ltd. (OTCM:NSRGY),YPF SA (XNYS:YPF),Vale SA (BVMF:VALE3),ICICI BANK LIMITED (XNYS:IBN),"Pacific Airport Group, S.A.B. de CV (XNYS:PAC)",PT Telkom Indonesia (Persero) Tbk (XNYS:TLK)
12/1/14,28.75,62.70,93.82,30.32,90.38,99.64,98.78,14.91,25.63,100.54,23.17,4.43,56.20,39.98,74.06,30.84,19.00,11.14,63.44,22.69
1/1/15,27.33,62.49,92.83,29.70,90.44,103.43,91.88,14.62,25.58,99.67,21.25,4.11,57.79,38.12,72.65,26.11,18.47,11.01,60.52,22.14
2/1/15,29.73,57.89,91.50,31.44,85.61,109.04,83.21,14.49,26.33,95.73,21.22,5.31,59.40,41.17,76.57,24.88,17.73,9.98,67.17,21.78
3/1/15,31.65,60.89,85.63,32.20,82.66,114.45,80.06,12.93,25.28,96.61,23.26,5.50,63.28,40.35,77.08,26.47,17.01,10.40,61.10,22.36
4/1/15,31.33,60.52,84.30,32.59,82.43,114.54,80.24,12.73,25.02,96.78,27.24,5.57,67.34,39.65,76.40,28.13,15.63,9.72,65.78,21.46
5/1/15,32.24,63.61,88.85,32.31,80.29,109.55,87.37,15.07,25.99,93.48,28.58,6.18,68.55,43.23,78.14,30.95,19.87,9.84,69.83,20.46
6/1/15,32.16,67.42,84.28,32.32,77.43,110.37,86.05,16.61,26.11,92.52,28.45,6.01,66.09,40.56,74.52,28.75,18.07,8.68,67.85,20.88
7/1/15,31.61,67.52,83.14,31.63,79.93,111.49,84.38,18.67,26.98,94.91,27.59,5.68,62.81,41.29,73.16,27.42,15.51,9.45,70.71,21.66
8/1/15,30.33,68.53,79.21,34.18,76.70,117.03,78.63,17.74,26.24,95.11,29.48,5.67,64.91,36.97,75.60,22.93,15.68,9.15,77.45,21.32
9/1/15,27.32,61.50,72.46,29.74,68.76,114.42,73.10,16.13,24.59,89.02,27.16,4.91,58.68,30.70,72.60,21.79,16.00,7.50,81.30,19.19
10/1/15,27.60,60.81,75.88,31.36,72.42,117.81,65.70,16.50,24.65,89.74,27.49,5.15,58.68,32.52,76.10,15.54,15.63,8.00,85.88,17.74
11/1/15,30.27,68.46,84.47,32.16,75.57,125.98,73.84,15.49,25.04,98.03,27.46,5.61,72.64,35.13,75.03,21.08,14.02,7.45,90.86,19.80
12/1/15,29.76,67.89,78.86,31.09,77.83,134.53,69.98,15.36,25.76,97.55,28.52,5.08,71.60,32.67,75.55,17.18,11.05,7.28,86.70,21.44
1/1/16,26.32,66.03,77.95,30.60,79.41,132.25,67.96,16.00,25.99,96.95,29.04,4.92,73.82,31.26,74.42,15.72,11.66,7.12,86.68,22.00
2/1/16,23.51,57.75,80.08,27.52,81.20,116.43,66.12,10.84,27.85,88.84,24.45,4.35,69.22,30.46,73.94,17.12,9.15,5.55,79.38,24.91
3/1/16,25.75,60.05,82.29,28.16,83.49,125.56,72.84,13.40,28.64,95.94,28.38,4.59,70.36,31.15,71.94,18.81,14.81,5.92,77.84,25.97
4/1/16,27.50,59.87,82.96,28.48,83.53,134.85,76.79,15.84,29.49,104.50,27.47,4.98,69.35,29.57,74.04,17.51,13.88,6.51,86.82,25.30
5/1/16,23.18,61.60,88.51,31.83,82.13,135.70,73.36,14.33,29.44,106.57,26.68,4.77,66.81,31.58,73.19,20.14,15.11,6.03,95.46,26.08
6/1/16,24.48,64.64,88.37,32.88,82.47,131.74,75.04,14.60,29.61,106.97,28.30,5.59,72.54,31.88,75.28,21.30,14.53,6.56,97.29,28.32
7/1/16,23.97,61.26,93.84,33.72,84.78,129.62,76.45,14.43,32.83,113.60,27.14,5.88,67.48,36.00,78.09,19.40,14.87,6.57,101.53,31.11
8/1/16,26.87,66.30,87.56,33.60,85.78,136.91,82.56,15.34,32.59,116.58,24.94,6.54,76.95,33.15,79.57,18.32,16.98,6.65,96.57,32.91
9/1/16,26.93,67.49,87.42,32.96,88.20,135.15,81.69,13.19,30.92,115.09,22.90,6.53,79.59,34.50,80.56,17.36,16.32,7.16,99.23,31.56
10/1/16,28.26,66.59,87.28,32.11,89.75,128.68,88.77,13.60,30.67,113.33,20.80,6.64,79.95,35.16,79.02,18.22,15.94,6.79,93.25,32.89
11/1/16,27.21,67.76,83.57,28.44,85.08,120.91,82.31,12.70,27.56,112.98,17.18,6.17,76.76,33.54,72.52,16.67,19.34,7.35,91.44,31.27
12/1/16,27.48,81.60,87.04,29.98,82.40,129.87,95.14,12.10,29.16,102.57,16.97,5.61,75.87,35.48,67.45,16.34,26.54,6.98,78.21,28.46
1/1/17,29.48,86.12,88.50,31.74,85.03,133.53,93.04,15.27,31.20,105.27,18.32,5.79,82.97,37.91,73.52,17.19,23.38,6.85,76.75,29.47
2/1/17,32.27,87.18,83.54,30.42,87.41,137.98,93.28,16.76,31.15,105.25,17.04,6.33,85.99,35.92,73.69,22.07,27.55,7.75,78.76,29.36
3/1/17,34.95,92.80,82.46,32.72,90.50,147.81,95.12,16.77,31.73,115.67,17.34,6.31,89.29,34.09,74.03,21.19,28.64,7.58,87.55,28.81
4/1/17,35.92,87.84,82.01,32.43,89.85,146.83,92.76,18.55,31.38,121.54,17.14,6.75,91.29,34.52,76.90,24.28,26.81,7.82,95.35,31.03
5/1/17,37.24,87.00,82.02,31.74,86.50,155.73,99.64,20.56,29.12,128.69,20.45,6.96,93.15,35.30,81.06,24.60,24.23,8.55,101.66,32.52
6/1/17,38.86,82.64,79.50,30.85,88.59,155.35,105.95,22.66,29.35,132.49,22.00,7.55,96.29,35.91,86.45,24.80,24.91,8.91,99.93,33.09
7/1/17,36.01,91.40,80.73,31.84,87.15,153.40,107.46,24.11,28.49,132.32,21.45,7.64,92.06,34.65,87.20,21.90,26.97,8.97,110.27,33.67
8/1/17,39.10,93.66,80.21,31.89,90.67,152.75,114.35,23.79,29.02,137.57,21.03,8.07,91.44,36.33,85.36,19.66,29.05,9.24,112.84,35.06
9/1/17,41.01,91.70,76.57,32.19,92.53,150.78,118.28,23.69,28.30,145.77,23.62,7.94,88.60,34.77,84.17,20.06,33.18,9.40,108.91,35.42
10/1/17,38.83,96.92,81.71,34.17,92.33,165.85,126.93,23.79,29.14,139.11,24.56,7.42,94.30,38.26,84.82,22.25,29.89,8.47,97.78,34.25
11/1/17,43.13,101.41,83.18,33.70,86.58,164.39,136.63,20.41,25.15,142.10,24.97,8.96,98.85,40.56,84.76,24.61,31.20,9.56,93.49,30.09
12/1/17,42.76,104.79,83.46,34.46,90.36,180.42,141.52,20.44,27.56,143.61,26.00,9.11,93.17,39.95,86.09,22.94,33.00,9.38,102.69,30.64
